Date,Open,High,Low,Close,Adj Close,Volume
2018-07-14,432.459991,439.630005,428.309998,433.73999,433.73999,84564526
2018-07-15,433.73999,454.679993,431.450012,449.619995,449.619995,104635389
2018-07-16,449.619995,480.209991,444.799988,478.75,478.75,203769275
2018-07-17,478.809998,511.339996,465.570007,499.059998,499.059998,249043123
2018-07-18,499.059998,515.140015,469.450012,479.019989,479.019989,246100286
2018-07-19,479.029999,483.790009,462.869995,468.649994,468.649994,171685266
2018-07-20,468.649994,469.019989,440.429993,448.839996,448.839996,198020417
2018-07-21,448.839996,468.25,441.859985,461.040009,461.040009,125556641
2018-07-22,461.040009,471.98999,455.01001,457.649994,457.649994,102716195
2018-07-23,457.649994,469.700012,446.609985,449.630005,449.630005,175179390
2018-07-24,449.630005,484.179993,448.320007,479.470001,479.470001,201066485
2018-07-25,479.339996,484.440002,463.890015,471.279999,471.279999,141169236
2018-07-26,471.329987,483.859985,459.959991,462.029999,462.029999,129546000
2018-07-27,462.029999,473.690002,456.100006,469.690002,469.690002,135907462
2018-07-28,469.690002,471.23999,461.23999,468.549988,468.549988,75735805
2018-07-29,468.549988,471.559998,461.540009,466.200012,466.200012,77201406
2018-07-30,466.200012,468.929993,446.470001,456.559998,456.559998,146124509
2018-07-31,456.559998,457.459991,427.450012,431.98999,431.98999,162795413
2018-08-01,431.970001,435.630005,407.920013,419.869995,419.869995,180870688
2018-08-02,419.869995,424.480011,407.799988,410.829987,410.829987,117623000
2018-08-03,410.829987,419.660004,397.769989,417.619995,417.619995,158721612
2018-08-04,417.619995,418.98999,401.529999,406.910004,406.910004,109713090
2018-08-05,406.910004,413.25,400.140015,408.809998,408.809998,98136831
2018-08-06,408.779999,413.029999,401.26001,404.950012,404.950012,86611122
2018-08-07,404.950012,410.290009,368.690002,377.940002,377.940002,175081047
2018-08-08,377.940002,380.359985,347.700012,355.570007,355.570007,268260157
2018-08-09,355.570007,370.329987,350.970001,363.51001,363.51001,145534008
2018-08-10,363.51001,365.880005,326.480011,331.570007,331.570007,162997012
2018-08-11,331.559998,332.410004,305.339996,318.01001,318.01001,200910473
2018-08-12,317.98999,327.329987,314.309998,318.200012,318.200012,92445532
2018-08-13,318.209991,322.299988,281.059998,284.029999,284.029999,221289324
2018-08-14,284.029999,284.029999,250.449997,278.309998,278.309998,331398930
2018-08-15,278.309998,304.720001,276.859985,281.23999,281.23999,278662361
2018-08-16,281.23999,298.839996,278.019989,286.799988,286.799988,153825432
2018-08-17,286.799988,318.309998,285.339996,317.570007,317.570007,221725330
2018-08-18,317.570007,321.170013,283.019989,294.850006,294.850006,161954925
2018-08-19,294.850006,306.709991,289.089996,299.619995,299.619995,119973440
2018-08-20,299.619995,303.940002,269.160004,270.809998,270.809998,139388297
2018-08-21,270.76001,285.779999,269.76001,281.130005,281.130005,110215424
2018-08-22,281.130005,299,259.609985,270.369995,270.369995,212669541
2018-08-23,270.359985,280.459991,268.399994,275.829987,275.829987,112349301
2018-08-24,275.829987,283.200012,270.109985,281.369995,281.369995,89910398
2018-08-25,281.369995,282.920013,276.75,277.559998,277.559998,47248367
2018-08-26,277.559998,277.559998,269.570007,274.299988,274.299988,76389344
2018-08-27,274.299988,288.160004,271.880005,288.019989,288.019989,110434070
2018-08-28,288.019989,297.820007,282.809998,295.549988,295.549988,112083492
2018-08-29,295.549988,296.980011,284.369995,288.670013,288.670013,96897746
2018-08-30,288.670013,290.880005,272.399994,284.149994,284.149994,128910859
2018-08-31,284.149994,284.720001,276.579987,281.660004,281.660004,82108307
2018-09-01,281.649994,302.329987,281.440002,295.359985,295.359985,106537076
2018-09-02,295.359985,299.450012,289.26001,295.019989,295.019989,78277637
2018-09-03,295.019989,296.179993,285.859985,288.970001,288.970001,77409387
2018-09-04,288.970001,292.350006,277.839996,285.230011,285.230011,108226527
2018-09-05,285.230011,287.540009,226.119995,228.270004,228.270004,279599544
2018-09-06,228.270004,232.779999,211.179993,229.520004,229.520004,273642406
2018-09-07,229.559998,234.149994,213.830002,215.139999,215.139999,157745814
2018-09-08,215.139999,220.020004,190.080002,196.770004,196.770004,177137749
2018-09-09,196.770004,208.380005,185.009995,195.990005,195.990005,158079940
2018-09-10,195.990005,202.589996,186.919998,197.139999,197.139999,142204330
2018-09-11,197.130005,199.119995,175.960007,185.149994,185.149994,175106713
2018-09-12,185.149994,185.149994,167.600006,183.029999,183.029999,245547248
2018-09-13,183.029999,214.919998,183.029999,211.270004,211.270004,329648784
2018-09-14,211.270004,223.979996,202.800003,208.869995,208.869995,312268002
2018-09-15,208.869995,227.669998,208.380005,221.630005,221.630005,168167381
2018-09-16,221.619995,223.419998,207.899994,220.119995,220.119995,129504097
2018-09-17,220.119995,225.580002,192.509995,196.039993,196.039993,334881838
2018-09-18,196.039993,214.679993,194,208.389999,208.389999,208223203
2018-09-19,208.389999,215.339996,197.429993,209.779999,209.779999,209614073
2018-09-20,209.779999,228.889999,206.970001,224.759995,224.759995,179337694
2018-09-21,224.759995,252.210007,221.25,247.690002,247.690002,324152515
2018-09-22,247.690002,254.75,233.009995,240.779999,240.779999,153989817
2018-09-23,240.779999,249.410004,237.240005,244.550003,244.550003,109358338
2018-09-24,244.550003,245.789993,225.100006,227.919998,227.919998,176162388
2018-09-25,227.919998,227.919998,202.899994,219.199997,219.199997,274370639
2018-09-26,219.199997,222.619995,207.309998,214.210007,214.210007,167260754
2018-09-27,214.210007,234.199997,210.050003,229.089996,229.089996,175768934
2018-09-28,229.089996,234.059998,214.970001,221.559998,221.559998,196588546
2018-09-29,221.559998,237.160004,213.330002,231.320007,231.320007,169490766
2018-09-30,231.320007,238.899994,226.139999,232.600006,232.600006,120465654
2018-10-01,232.600006,235.419998,224.539993,230.889999,230.889999,89553376
2018-10-02,230.899994,231.649994,222.429993,225.410004,225.410004,69760408
2018-10-03,225.419998,225.679993,214.979996,219.970001,219.970001,115425803
2018-10-04,219.970001,226.300003,219.009995,221.759995,221.759995,94094782
2018-10-05,221.759995,231.910004,219.059998,227.899994,227.899994,90777990
2018-10-06,227.899994,228.419998,222.820007,224.619995,224.619995,58388239
2018-10-07,224.619995,226.869995,220.75,225.649994,225.649994,58001835
2018-10-08,225.649994,232.309998,223.649994,229.330002,229.330002,119060366
2018-10-09,229.330002,230.169998,226.080002,227.490005,227.490005,57089428
2018-10-10,227.490005,227.529999,222.630005,225.259995,225.259995,79427315
2018-10-11,225.259995,225.259995,186.880005,189.830002,189.830002,280686354
2018-10-12,189.830002,200.039993,188.429993,195.970001,195.970001,122749873
2018-10-13,195.970001,201.039993,195.410004,199.449997,199.449997,50575220
2018-10-14,199.449997,201.690002,192.669998,194.990005,194.990005,68812436
2018-10-15,194.990005,232.029999,192.880005,210.800003,210.800003,352120919
2018-10-16,210.800003,215,207.779999,210.220001,210.220001,81883310
2018-10-17,210.220001,211.289993,205.490005,207.600006,207.600006,59192189
2018-10-18,207.600006,209.460007,200.389999,202.490005,202.490005,96947739
2018-10-19,202.490005,204.789993,200.979996,202.860001,202.860001,65604453
2018-10-20,202.860001,207.029999,201.759995,205.080002,205.080002,49096326
2018-10-21,205.080002,208.389999,203.809998,204.770004,204.770004,39862698
2018-10-22,204.770004,205.869995,202.449997,203.600006,203.600006,50598661
2018-10-23,203.600006,204.820007,200.509995,203.699997,203.699997,53645925
2018-10-24,203.699997,205.309998,202.440002,202.919998,202.919998,41210649
2018-10-25,202.929993,203.919998,199.789993,201.229996,201.229996,53009578
2018-10-26,201.229996,206.660004,200.460007,203.369995,203.369995,63803981
2018-10-27,203.369995,203.910004,201.649994,202.789993,202.789993,19658355
2018-10-28,202.789993,204.360001,202.5,203.720001,203.720001,21150899
2018-10-29,203.729996,204.029999,193.940002,195.669998,195.669998,74963306
2018-10-30,195.669998,197.169998,194.199997,196.190002,196.190002,54237687
2018-10-31,196.220001,200.059998,192.449997,197.850006,197.850006,59872776
2018-11-01,197.850006,199.600006,197.169998,198.729996,198.729996,31093612
2018-11-02,198.729996,202.770004,198.729996,201.020004,201.020004,49194567
2018-11-03,201.020004,201.330002,197.520004,199.470001,199.470001,34164177
2018-11-04,199.470001,218.160004,198.610001,211.300003,211.300003,101844171
2018-11-05,211.309998,212.289993,206.779999,209.699997,209.699997,52562411
2018-11-06,209.699997,220.020004,208.160004,219.559998,219.559998,106555197
2018-11-07,219.550003,223.710007,216.479996,217.990005,217.990005,127473032
2018-11-08,218.039993,219.649994,211.070007,211.289993,211.289993,64346780
2018-11-09,211.289993,213.539993,207.539993,209.389999,209.389999,47121564
2018-11-10,209.389999,214.610001,209.039993,211.899994,211.899994,29624413
2018-11-11,211.899994,212.559998,206.610001,211.699997,211.699997,35300337
2018-11-12,211.699997,213.210007,208.970001,210.809998,210.809998,41671998
2018-11-13,210.809998,210.929993,205.660004,206.419998,206.419998,58600617
2018-11-14,206.429993,208.149994,171.509995,182.720001,182.720001,318920969
2018-11-15,182.720001,185.669998,168.570007,181.529999,181.529999,206578170
2018-11-16,181.550003,182.479996,170.759995,174.839996,174.839996,126875658
2018-11-17,174.839996,175.800003,172.570007,174.220001,174.220001,42708847
2018-11-18,174.220001,181.270004,174.050003,177.529999,177.529999,67927574
2018-11-19,177.550003,177.580002,144.850006,148.220001,148.220001,300853051
2018-11-20,148.220001,152.220001,124.360001,130.740005,130.740005,427274827
2018-11-21,130.740005,139.419998,124.5,136.5,136.5,228871551
2018-11-22,136.5,138.520004,123.889999,124.830002,124.830002,107326677
2018-11-23,124.830002,127.139999,118.18,123.370003,123.370003,174492308
2018-11-24,123.370003,128.350006,109.620003,112.75,112.75,135633645
2018-11-25,112.739998,120.550003,100.959999,116.75,116.75,253590457
2018-11-26,116.68,119.220001,104.870003,108.870003,108.870003,181319493
2018-11-27,108.889999,113.239998,100.769997,110.190002,110.190002,142069855
2018-11-28,110.209999,126.709999,110.199997,122.879997,122.879997,181557557
2018-11-29,122.879997,123.970001,114.139999,117.480003,117.480003,118262111
2018-11-30,117.480003,120.029999,110.669998,112.870003,112.870003,112490314
2018-12-01,112.870003,121.330002,110.870003,118.5,118.5,76467768
2018-12-02,118.5,121.080002,115.360001,115.959999,115.959999,44666977
2018-12-03,115.970001,116.269997,105.93,108.230003,108.230003,86515164
2018-12-04,108.230003,113.599998,105.550003,109.82,109.82,68352727
2018-12-05,109.82,110.349998,101.199997,101.57,101.57,87444053
